Vgs (V),Vds (V),Ids (A)
2.00E-01,-3.23E-01,-1.84E-03
2.00E-01,-3.33E-01,-1.88E-03
2.00E-01,-3.43E-01,-1.91E-03
2.00E-01,-3.54E-01,-1.95E-03
2.00E-01,-3.64E-01,-1.98E-03
2.00E-01,-3.74E-01,-2.01E-03
2.00E-01,-3.84E-01,-2.04E-03
2.00E-01,-3.94E-01,-2.07E-03
2.00E-01,-4.04E-01,-2.10E-03
2.00E-01,-4.14E-01,-2.13E-03
2.00E-01,-4.24E-01,-2.15E-03
2.00E-01,-4.34E-01,-2.18E-03
2.00E-01,-4.44E-01,-2.20E-03
2.00E-01,-4.55E-01,-2.22E-03
2.00E-01,-4.65E-01,-2.24E-03
2.00E-01,-4.75E-01,-2.26E-03
2.00E-01,-4.85E-01,-2.27E-03
2.00E-01,-4.95E-01,-2.30E-03
2.00E-01,-5.05E-01,-2.32E-03
2.00E-01,-5.15E-01,-2.33E-03
2.00E-01,-5.25E-01,-2.35E-03
2.00E-01,-5.35E-01,-2.36E-03
2.00E-01,-5.45E-01,-2.37E-03
2.00E-01,-5.56E-01,-2.38E-03
2.00E-01,-5.66E-01,-2.40E-03
2.00E-01,-5.76E-01,-2.40E-03
2.00E-01,-5.86E-01,-2.41E-03
2.00E-01,-5.96E-01,-2.42E-03
2.00E-01,-6.06E-01,-2.43E-03
2.00E-01,-6.16E-01,-2.44E-03
2.00E-01,-6.26E-01,-2.44E-03
2.00E-01,-6.36E-01,-2.45E-03
2.00E-01,-6.46E-01,-2.45E-03
2.00E-01,-6.57E-01,-2.46E-03
2.00E-01,-6.67E-01,-2.46E-03
2.00E-01,-6.77E-01,-2.47E-03
2.00E-01,-6.87E-01,-2.46E-03
2.00E-01,-6.97E-01,-2.47E-03
2.00E-01,-7.07E-01,-2.47E-03
2.00E-01,-7.17E-01,-2.47E-03
2.00E-01,-7.27E-01,-2.48E-03
2.00E-01,-7.37E-01,-2.48E-03
2.00E-01,-7.47E-01,-2.48E-03
2.00E-01,-7.58E-01,-2.48E-03
2.00E-01,-7.68E-01,-2.48E-03
2.00E-01,-7.78E-01,-2.48E-03
2.00E-01,-7.88E-01,-2.47E-03
2.00E-01,-7.98E-01,-2.48E-03
3.00E-01,-6.20E-05,1.59E-07
3.00E-01,-8.44E-03,-4.27E-05
3.00E-01,-2.02E-02,-1.05E-04
3.00E-01,-3.03E-02,-1.59E-04
3.00E-01,-4.04E-02,-2.13E-04
3.00E-01,-5.05E-02,-2.67E-04
3.00E-01,-6.06E-02,-3.20E-04
3.00E-01,-7.07E-02,-3.72E-04
3.00E-01,-8.08E-02,-4.22E-04
3.00E-01,-9.09E-02,-4.72E-04
3.00E-01,-1.01E-01,-5.21E-04
3.00E-01,-1.11E-01,-5.69E-04
3.00E-01,-1.21E-01,-6.16E-04
3.00E-01,-1.31E-01,-6.61E-04
3.00E-01,-1.41E-01,-7.05E-04
3.00E-01,-1.52E-01,-7.48E-04
3.00E-01,-1.62E-01,-7.90E-04
3.00E-01,-1.72E-01,-8.31E-04
3.00E-01,-1.82E-01,-8.71E-04
3.00E-01,-1.92E-01,-9.09E-04
3.00E-01,-2.02E-01,-9.46E-04
3.00E-01,-2.12E-01,-9.82E-04
3.00E-01,-2.22E-01,-1.02E-03
3.00E-01,-2.32E-01,-1.05E-03
3.00E-01,-2.42E-01,-1.08E-03
3.00E-01,-2.53E-01,-1.11E-03
3.00E-01,-2.63E-01,-1.14E-03
3.00E-01,-2.73E-01,-1.17E-03
3.00E-01,-2.83E-01,-1.20E-03
3.00E-01,-2.93E-01,-1.23E-03
3.00E-01,-3.03E-01,-1.25E-03
3.00E-01,-3.13E-01,-1.28E-03
3.00E-01,-3.23E-01,-1.30E-03
3.00E-01,-3.33E-01,-1.32E-03
3.00E-01,-3.43E-01,-1.34E-03
3.00E-01,-3.54E-01,-1.36E-03
3.00E-01,-3.64E-01,-1.38E-03
3.00E-01,-3.74E-01,-1.40E-03
3.00E-01,-3.84E-01,-1.41E-03
3.00E-01,-3.94E-01,-1.43E-03
3.00E-01,-4.04E-01,-1.45E-03
3.00E-01,-4.14E-01,-1.46E-03
3.00E-01,-4.24E-01,-1.47E-03
3.00E-01,-4.34E-01,-1.48E-03
3.00E-01,-4.44E-01,-1.50E-03
3.00E-01,-4.55E-01,-1.51E-03
3.00E-01,-4.65E-01,-1.52E-03
3.00E-01,-4.75E-01,-1.53E-03
3.00E-01,-4.85E-01,-1.54E-03
3.00E-01,-4.95E-01,-1.54E-03
3.00E-01,-5.05E-01,-1.55E-03
3.00E-01,-5.15E-01,-1.56E-03
3.00E-01,-5.25E-01,-1.56E-03
3.00E-01,-5.35E-01,-1.56E-03
3.00E-01,-5.45E-01,-1.57E-03
3.00E-01,-5.56E-01,-1.58E-03
3.00E-01,-5.66E-01,-1.58E-03
3.00E-01,-5.76E-01,-1.59E-03
3.00E-01,-5.86E-01,-1.59E-03
3.00E-01,-5.96E-01,-1.59E-03
3.00E-01,-6.06E-01,-1.60E-03
3.00E-01,-6.16E-01,-1.60E-03
3.00E-01,-6.26E-01,-1.60E-03
3.00E-01,-6.36E-01,-1.59E-03
3.00E-01,-6.46E-01,-1.60E-03
3.00E-01,-6.57E-01,-1.61E-03
3.00E-01,-6.67E-01,-1.61E-03
3.00E-01,-6.77E-01,-1.61E-03
3.00E-01,-6.87E-01,-1.61E-03
3.00E-01,-6.97E-01,-1.61E-03
3.00E-01,-7.07E-01,-1.61E-03
3.00E-01,-7.17E-01,-1.61E-03
3.00E-01,-7.27E-01,-1.61E-03
3.00E-01,-7.37E-01,-1.61E-03
3.00E-01,-7.47E-01,-1.61E-03
3.00E-01,-7.58E-01,-1.61E-03
3.00E-01,-7.68E-01,-1.61E-03
3.00E-01,-7.78E-01,-1.61E-03
3.00E-01,-7.88E-01,-1.61E-03
3.00E-01,-7.98E-01,-1.61E-03
4.00E-01,-6.03E-05,1.40E-07
4.00E-01,-9.09E-03,-3.40E-05
4.00E-01,-2.01E-02,-7.68E-05
4.00E-01,-3.03E-02,-1.16E-04
4.00E-01,-4.04E-02,-1.55E-04
4.00E-01,-5.05E-02,-1.92E-04
4.00E-01,-6.06E-02,-2.29E-04
4.00E-01,-7.07E-02,-2.66E-04
4.00E-01,-8.08E-02,-3.01E-04
4.00E-01,-9.09E-02,-3.35E-04
4.00E-01,-1.01E-01,-3.69E-04
4.00E-01,-1.11E-01,-4.01E-04
4.00E-01,-1.21E-01,-4.33E-04
4.00E-01,-1.31E-01,-4.63E-04
4.00E-01,-1.41E-01,-4.93E-04
4.00E-01,-1.52E-01,-5.19E-04
4.00E-01,-1.62E-01,-5.48E-04
4.00E-01,-1.72E-01,-5.74E-04
4.00E-01,-1.82E-01,-5.99E-04
4.00E-01,-1.92E-01,-6.23E-04
4.00E-01,-2.02E-01,-6.46E-04
4.00E-01,-2.12E-01,-6.67E-04
4.00E-01,-2.22E-01,-6.89E-04
4.00E-01,-2.32E-01,-7.09E-04
4.00E-01,-2.42E-01,-7.27E-04
4.00E-01,-2.53E-01,-7.43E-04
4.00E-01,-2.63E-01,-7.62E-04
4.00E-01,-2.73E-01,-7.78E-04
4.00E-01,-2.83E-01,-7.94E-04
4.00E-01,-2.93E-01,-8.08E-04
4.00E-01,-3.03E-01,-8.21E-04
4.00E-01,-3.13E-01,-8.33E-04
4.00E-01,-3.23E-01,-8.46E-04
4.00E-01,-3.33E-01,-8.56E-04
4.00E-01,-3.43E-01,-8.65E-04
4.00E-01,-3.54E-01,-8.73E-04
4.00E-01,-3.64E-01,-8.84E-04
4.00E-01,-3.74E-01,-8.93E-04
4.00E-01,-3.84E-01,-9.00E-04
4.00E-01,-3.94E-01,-9.07E-04
4.00E-01,-4.04E-01,-9.14E-04
4.00E-01,-4.14E-01,-9.20E-04
4.00E-01,-4.24E-01,-9.26E-04
4.00E-01,-4.34E-01,-9.31E-04
4.00E-01,-4.44E-01,-9.36E-04
4.00E-01,-4.55E-01,-9.35E-04
4.00E-01,-4.65E-01,-9.44E-04
4.00E-01,-4.75E-01,-9.47E-04
4.00E-01,-4.85E-01,-9.50E-04
4.00E-01,-4.95E-01,-9.53E-04
4.00E-01,-5.05E-01,-9.56E-04
4.00E-01,-5.15E-01,-9.58E-04
4.00E-01,-5.25E-01,-9.61E-04
4.00E-01,-5.35E-01,-9.63E-04
4.00E-01,-5.45E-01,-9.64E-04
4.00E-01,-5.56E-01,-9.61E-04
4.00E-01,-5.66E-01,-9.68E-04
4.00E-01,-5.76E-01,-9.69E-04
4.00E-01,-5.86E-01,-9.71E-04
4.00E-01,-5.96E-01,-9.71E-04
4.00E-01,-6.06E-01,-9.71E-04
4.00E-01,-6.16E-01,-9.73E-04
4.00E-01,-6.26E-01,-9.73E-04
4.00E-01,-6.36E-01,-9.72E-04
4.00E-01,-6.46E-01,-9.72E-04
4.00E-01,-6.57E-01,-9.67E-04
4.00E-01,-6.67E-01,-9.72E-04
4.00E-01,-6.77E-01,-9.73E-04
4.00E-01,-6.87E-01,-9.71E-04
4.00E-01,-6.97E-01,-9.70E-04
4.00E-01,-7.07E-01,-9.69E-04
4.00E-01,-7.17E-01,-9.72E-04
4.00E-01,-7.27E-01,-9.71E-04
4.00E-01,-7.37E-01,-9.71E-04
4.00E-01,-7.47E-01,-9.70E-04
4.00E-01,-7.58E-01,-9.64E-04
4.00E-01,-7.68E-01,-9.68E-04
4.00E-01,-7.78E-01,-9.68E-04
4.00E-01,-7.88E-01,-9.66E-04
4.00E-01,-7.98E-01,-9.66E-04
5.00E-01,-3.21E-05,6.06E-08
5.00E-01,-9.63E-03,-2.59E-05
5.00E-01,-2.02E-02,-5.39E-05
5.00E-01,-3.03E-02,-7.98E-05
5.00E-01,-4.04E-02,-1.05E-04
